Industry  IndustryDescription									    Commodity CommodityDescription									ProVal    IOYear
2122A0    Gold, silver, and other metal ore mining                                                  230101    Nonresidential commercial and health care structures                                      0.20      2002      
2122A0    Gold, silver, and other metal ore mining                                                  230102    Nonresidential manufacturing structures                                                   1.30      2002      
212310    Stone mining and quarrying                                                                212310    Stone mining and quarrying                                                                8920.80   2002      
212310    Stone mining and quarrying                                                                212320    Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying              97.80     2002      
212310    Stone mining and quarrying                                                                21311A    Support activities for other mining                                                       60.40     2002      
212310    Stone mining and quarrying                                                                230102    Nonresidential manufacturing structures                                                   0.80      2002      
212310    Stone mining and quarrying                                                                324121    Asphalt paving mixture and block manufacturing                                            143.10    2002      
212310    Stone mining and quarrying                                                                327320    Ready-mix concrete manufacturing                                                          93.30     2002      
212310    Stone mining and quarrying                                                                3274A0    Lime and gypsum product manufacturing                                                     60.80     2002      
212310    Stone mining and quarrying                                                                327991    Cut stone and stone product manufacturing                                                 78.90     2002      
212310    Stone mining and quarrying                                                                420000    Wholesale trade                                                                           14.60     2002      
212310    Stone mining and quarrying                                                                541511    Custom computer programming services                                                      2.20      2002      
212320    Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying              2122A0    Gold, silver, and other metal ore mining                                                  64.80     2002      
212320    Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying              212310    Stone mining and quarrying                                                                80.00     2002      
212320    Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying              212320    Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying              6467.40   2002      
212320    Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying              21311A    Support activities for other mining                                                       62.00     2002      
212320    Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying              230102    Nonresidential manufacturing structures                                                   0.80      2002      
212320    Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying              324121    Asphalt paving mixture and block manufacturing                                            44.10     2002      
212320    Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying              327320    Ready-mix concrete manufacturing                                                          49.40     2002      
212320    Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying              327992    Ground or treated mineral and earth manufacturing                                         56.20     2002      
212320    Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying              420000    Wholesale trade                                                                           6.60      2002      
212320    Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying              541511    Custom computer programming services                                                      1.90      2002      
212390    Other nonmetallic mineral mining and quarrying                                            212390    Other nonmetallic mineral mining and quarrying                                            1949.20   2002      
212390    Other nonmetallic mineral mining and quarrying                                            230102    Nonresidential manufacturing structures                                                   0.40      2002      
212390    Other nonmetallic mineral mining and quarrying                                            324199    All other petroleum and coal products manufacturing                                       50.30     2002      
212390    Other nonmetallic mineral mining and quarrying                                            325181    Alkalies and chlorine manufacturing                                                       564.70    2002      
212390    Other nonmetallic mineral mining and quarrying                                            325188    All other basic inorganic chemical manufacturing                                          550.80    2002      
212390    Other nonmetallic mineral mining and quarrying                                            420000    Wholesale trade                                                                           3.20      2002      
212390    Other nonmetallic mineral mining and quarrying                                            541511    Custom computer programming services                                                      0.60      2002      
213111    Drilling oil and gas wells                                                                211000    Oil and gas extraction                                                                    7.50      2002      
213111    Drilling oil and gas wells                                                                213111    Drilling oil and gas wells                                                                11773.20  2002      
213111    Drilling oil and gas wells                                                                213112    Support activities for oil and gas operations                                             1085.00   2002      
213111    Drilling oil and gas wells                                                                420000    Wholesale trade                                                                           3.70      2002      
213111    Drilling oil and gas wells                                                                541511    Custom computer programming services                                                      7.70      2002      
213112    Support activities for oil and gas operations                                             211000    Oil and gas extraction                                                                    25.80     2002      
213112    Support activities for oil and gas operations                                             213111    Drilling oil and gas wells                                                                727.70    2002      
213112    Support activities for oil and gas operations                                             213112    Support activities for oil and gas operations                                             14902.10  2002      
213112    Support activities for oil and gas operations                                             332710    Machine shops                                                                             183.40    2002      
213112    Support activities for oil and gas operations                                             541511    Custom computer programming services                                                      19.10     2002      
21311A    Support activities for other mining                                                       212310    Stone mining and quarrying                                                                70.10     2002      
21311A    Support activities for other mining                                                       212320    Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying              16.30     2002      
21311A    Support activities for other mining                                                       213112    Support activities for oil and gas operations                                             161.80    2002      
21311A    Support activities for other mining                                                       21311A    Support activities for other mining                                                       3403.20   2002      
21311A    Support activities for other mining                                                       420000    Wholesale trade                                                                           11.20     2002      
21311A    Support activities for other mining                                                       541511    Custom computer programming services                                                      1.00      2002      
221100    Electric power generation, transmission, and distribution                                 211000    Oil and gas extraction                                                                    7.10      2002      
221100    Electric power generation, transmission, and distribution                                 221100    Electric power generation, transmission, and distribution                                 214203.50 2002      
221100    Electric power generation, transmission, and distribution                                 221200    Natural gas distribution                                                                  9547.20   2002      
221100    Electric power generation, transmission, and distribution                                 221300    Water, sewage and other systems                                                           2107.00   2002      
221100    Electric power generation, transmission, and distribution                                 230103    Other nonresidential structures                                                           1498.90   2002      
221100    Electric power generation, transmission, and distribution                                 486000    Pipeline transportation                                                                   102.70    2002      
221100    Electric power generation, transmission, and distribution                                 4A0000    Retail trade                                                                              18.50     2002      
221100    Electric power generation, transmission, and distribution                                 541511    Custom computer programming services                                                      571.30    2002      
221100    Electric power generation, transmission, and distribution                                 S00203    Other state and local government enterprises                                              12.70     2002      
221200    Natural gas distribution                                                                  211000    Oil and gas extraction                                                                    26.30     2002      
221200    Natural gas distribution                                                                  221100    Electric power generation, transmission, and distribution                                 4288.90   2002      
221200    Natural gas distribution                                                                  221200    Natural gas distribution                                                                  77823.90  2002      
221200    Natural gas distribution                                                                  230103    Other nonresidential structures                                                           381.20    2002      
221200    Natural gas distribution                                                                  486000    Pipeline transportation                                                                   187.10    2002      
221200    Natural gas distribution                                                                  4A0000    Retail trade                                                                              1.90      2002      
221200    Natural gas distribution                                                                  541511    Custom computer programming services                                                      65.50     2002      
221300    Water, sewage and other systems                                                           221300    Water, sewage and other systems                                                           6488.80   2002      
221300    Water, sewage and other systems                                                           230101    Nonresidential commercial and health care structures                                      47.50     2002      
221300    Water, sewage and other systems                                                           230103    Other nonresidential structures                                                           33.70     2002      
221300    Water, sewage and other systems                                                           4A0000    Retail trade                                                                              0.70      2002      
221300    Water, sewage and other systems                                                           541511    Custom computer programming services                                                      4.50      2002      
221300    Water, sewage and other systems                                                           S00203    Other state and local government enterprises                                              948.20    2002      
230101    Nonresidential commercial and health care structures                                      230101    Nonresidential commercial and health care structures                                      122222.80 2002      
230102    Nonresidential manufacturing structures                                                   230102    Nonresidential manufacturing structures                                                   22103.30  2002      
230103    Other nonresidential structures                                                           230103    Other nonresidential structures                                                           273226.90 2002      
230201    Residential permanent site single- and multi-family structures                            230201    Residential permanent site single- and multi-family structures                            286500.10 2002      
230202    Other residential structures                                                              230202    Other residential structures                                                              133281.00 2002      
230301    Nonresidential maintenance and repair                                                     230301    Nonresidential maintenance and repair                                                     98191.70  2002      
230302    Residential maintenance and repair                                                        230302    Residential maintenance and repair                                                        32062.30  2002      
311111    Dog and cat food manufacturing                                                            230102    Nonresidential manufacturing structures                                                   0.80      2002      
311111    Dog and cat food manufacturing                                                            311111    Dog and cat food manufacturing                                                            9759.90   2002      
311111    Dog and cat food manufacturing                                                            311119    Other animal food manufacturing                                                           19.50     2002      
311111    Dog and cat food manufacturing                                                            420000    Wholesale trade                                                                           23.90     2002      
311111    Dog and cat food manufacturing                                                            541511    Custom computer programming services                                                      2.70      2002      
311119    Other animal food manufacturing                                                           230102    Nonresidential manufacturing structures                                                   2.20      2002      
311119    Other animal food manufacturing                                                           311111    Dog and cat food manufacturing                                                            121.80    2002      
311119    Other animal food manufacturing                                                           311119    Other animal food manufacturing                                                           15720.00  2002      
311119    Other animal food manufacturing                                                           311210    Flour milling and malt manufacturing                                                      8.60      2002      
311119    Other animal food manufacturing                                                           311420    Fruit and vegetable canning, pickling, and drying                                         83.30     2002      
311119    Other animal food manufacturing                                                           31161A    Animal (except poultry) slaughtering, rendering, and processing                           90.80     2002      
311119    Other animal food manufacturing                                                           311940    Seasoning and dressing manufacturing                                                      61.60     2002      
311119    Other animal food manufacturing                                                           311990    All other food manufacturing                                                              68.40     2002      
311119    Other animal food manufacturing                                                           325412    Pharmaceutical preparation manufacturing                                                  143.20    2002      
311119    Other animal food manufacturing                                                           420000    Wholesale trade                                                                           97.80     2002      
311119    Other animal food manufacturing                                                           541511    Custom computer programming services                                                      5.00      2002      
311210    Flour milling and malt manufacturing                                                      230102    Nonresidential manufacturing structures                                                   1.30      2002      
311210    Flour milling and malt manufacturing                                                      311119    Other animal food manufacturing                                                           62.40     2002      
311210    Flour milling and malt manufacturing                                                      311210    Flour milling and malt manufacturing                                                      8067.40   2002      
311210    Flour milling and malt manufacturing                                                      311820    Cookie, cracker, and pasta manufacturing                                                  568.90    2002      
311210    Flour milling and malt manufacturing                                                      420000    Wholesale trade                                                                           125.80    2002      
311210    Flour milling and malt manufacturing                                                      541511    Custom computer programming services                                                      3.20      2002      
311221    Wet corn milling                                                                          230102    Nonresidential manufacturing structures                                                   0.80      2002      
311221    Wet corn milling                                                                          311210    Flour milling and malt manufacturing                                                      12.20     2002      
311221    Wet corn milling                                                                          311221    Wet corn milling                                                                          5838.60   2002      
311221    Wet corn milling                                                                          311225    Fats and oils refining and blending                                                       120.20    2002      
311221    Wet corn milling                                                                          311420    Fruit and vegetable canning, pickling, and drying                                         12.30     2002      
311221    Wet corn milling                                                                          311990    All other food manufacturing                                                              41.90     2002      
311221    Wet corn milling                                                                          325120    Industrial gas manufacturing                                                              8.10      2002      
311221    Wet corn milling                                                                          325190    Other basic organic chemical manufacturing                                                2197.80   2002      
311221    Wet corn milling                                                                          541511    Custom computer programming services                                                      1.30      2002      
311225    Fats and oils refining and blending                                                       230102    Nonresidential manufacturing structures                                                   0.80      2002      
311225    Fats and oils refining and blending                                                       311221    Wet corn milling                                                                          135.60    2002      
311225    Fats and oils refining and blending                                                       311225    Fats and oils refining and blending                                                       6064.00   2002      
311225    Fats and oils refining and blending                                                       31122A    Soybean and other oilseed processing                                                      520.70    2002      
311225    Fats and oils refining and blending                                                       311420    Fruit and vegetable canning, pickling, and drying                                         76.80     2002      
311225    Fats and oils refining and blending                                                       31151A    Fluid milk and butter manufacturing                                                       43.50     2002      
311225    Fats and oils refining and blending                                                       311940    Seasoning and dressing manufacturing                                                      230.30    2002      
311225    Fats and oils refining and blending                                                       420000    Wholesale trade                                                                           9.70      2002      
311225    Fats and oils refining and blending                                                       541511    Custom computer programming services                                                      0.90      2002      
31122A    Soybean and other oilseed processing                                                      230102    Nonresidential manufacturing structures                                                   1.30      2002      
31122A    Soybean and other oilseed processing                                                      311210    Flour milling and malt manufacturing                                                      123.60    2002      
31122A    Soybean and other oilseed processing                                                      311221    Wet corn milling                                                                          87.70     2002      
31122A    Soybean and other oilseed processing                                                      311225    Fats and oils refining and blending                                                       1806.90   2002      
31122A    Soybean and other oilseed processing                                                      31122A    Soybean and other oilseed processing                                                      11223.50  2002      
31122A    Soybean and other oilseed processing                                                      311820    Cookie, cracker, and pasta manufacturing                                                  21.80     2002      
31122A    Soybean and other oilseed processing                                                      325412    Pharmaceutical preparation manufacturing                                                  105.30    2002      
31122A    Soybean and other oilseed processing                                                      420000    Wholesale trade                                                                           25.70     2002      
31122A    Soybean and other oilseed processing                                                      541511    Custom computer programming services                                                      2.00      2002      
311230    Breakfast cereal manufacturing                                                            230102    Nonresidential manufacturing structures                                                   1.00      2002      
